Full Name,County,State,Population (as of July 2019)
"McLean County, Kentucky",McLean County,Kentucky,9207
"Madison County, Kentucky",Madison County,Kentucky,92987
"Magoffin County, Kentucky",Magoffin County,Kentucky,12161
"Marion County, Kentucky",Marion County,Kentucky,19273
"Marshall County, Kentucky",Marshall County,Kentucky,31100
"Martin County, Kentucky",Martin County,Kentucky,11195
"Mason County, Kentucky",Mason County,Kentucky,17070
"Meade County, Kentucky",Meade County,Kentucky,28572
"Menifee County, Kentucky",Menifee County,Kentucky,6489
"Mercer County, Kentucky",Mercer County,Kentucky,21933
"Metcalfe County, Kentucky",Metcalfe County,Kentucky,10071
"Monroe County, Kentucky",Monroe County,Kentucky,10650
"Montgomery County, Kentucky",Montgomery County,Kentucky,28157
"Morgan County, Kentucky",Morgan County,Kentucky,13309
"Muhlenberg County, Kentucky",Muhlenberg County,Kentucky,30622
"Nelson County, Kentucky",Nelson County,Kentucky,46233
"Nicholas County, Kentucky",Nicholas County,Kentucky,7269
"Ohio County, Kentucky",Ohio County,Kentucky,23994
"Oldham County, Kentucky",Oldham County,Kentucky,66799
"Owen County, Kentucky",Owen County,Kentucky,10901
"Owsley County, Kentucky",Owsley County,Kentucky,4415
"Pendleton County, Kentucky",Pendleton County,Kentucky,14590
"Perry County, Kentucky",Perry County,Kentucky,25758
"Pike County, Kentucky",Pike County,Kentucky,57876
"Powell County, Kentucky",Powell County,Kentucky,12359
"Pulaski County, Kentucky",Pulaski County,Kentucky,64979
"Robertson County, Kentucky",Robertson County,Kentucky,2108
"Rockcastle County, Kentucky",Rockcastle County,Kentucky,16695
"Rowan County, Kentucky",Rowan County,Kentucky,24460
"Russell County, Kentucky",Russell County,Kentucky,17923
"Scott County, Kentucky",Scott County,Kentucky,57004
"Shelby County, Kentucky",Shelby County,Kentucky,49024
"Simpson County, Kentucky",Simpson County,Kentucky,18572
"Spencer County, Kentucky",Spencer County,Kentucky,19351
"Taylor County, Kentucky",Taylor County,Kentucky,25769
"Todd County, Kentucky",Todd County,Kentucky,12294
"Trigg County, Kentucky",Trigg County,Kentucky,14651
"Trimble County, Kentucky",Trimble County,Kentucky,8471
"Union County, Kentucky",Union County,Kentucky,14381
"Warren County, Kentucky",Warren County,Kentucky,132896
"Washington County, Kentucky",Washington County,Kentucky,12095
"Wayne County, Kentucky",Wayne County,Kentucky,20333
"Webster County, Kentucky",Webster County,Kentucky,12942
"Whitley County, Kentucky",Whitley County,Kentucky,36264
"Wolfe County, Kentucky",Wolfe County,Kentucky,7157
"Woodford County, Kentucky",Woodford County,Kentucky,26734
"Acadia Parish, Louisiana",Acadia Parish,Louisiana,62045
"Allen Parish, Louisiana",Allen Parish,Louisiana,25627
"Ascension Parish, Louisiana",Ascension Parish,Louisiana,126604
"Assumption Parish, Louisiana",Assumption Parish,Louisiana,21891
"Avoyelles Parish, Louisiana",Avoyelles Parish,Louisiana,40144
"Beauregard Parish, Louisiana",Beauregard Parish,Louisiana,37497
"Bienville Parish, Louisiana",Bienville Parish,Louisiana,13241
"Bossier Parish, Louisiana",Bossier Parish,Louisiana,127039
"Caddo Parish, Louisiana",Caddo Parish,Louisiana,240204
"Calcasieu Parish, Louisiana",Calcasieu Parish,Louisiana,203436
"Caldwell Parish, Louisiana",Caldwell Parish,Louisiana,9918
"Cameron Parish, Louisiana",Cameron Parish,Louisiana,6973
"Catahoula Parish, Louisiana",Catahoula Parish,Louisiana,9494
"Claiborne Parish, Louisiana",Claiborne Parish,Louisiana,15670
"Concordia Parish, Louisiana",Concordia Parish,Louisiana,19259
"De Soto Parish, Louisiana",De Soto Parish,Louisiana,27463
"East Baton Rouge Parish, Louisiana",East Baton Rouge Parish,Louisiana,440059
"East Carroll Parish, Louisiana",East Carroll Parish,Louisiana,6861
"East Feliciana Parish, Louisiana",East Feliciana Parish,Louisiana,19135
"Evangeline Parish, Louisiana",Evangeline Parish,Louisiana,33395
"Franklin Parish, Louisiana",Franklin Parish,Louisiana,20015
"Grant Parish, Louisiana",Grant Parish,Louisiana,22389
"Iberia Parish, Louisiana",Iberia Parish,Louisiana,69830
"Iberville Parish, Louisiana",Iberville Parish,Louisiana,32511
"Jackson Parish, Louisiana",Jackson Parish,Louisiana,15744
"Jefferson Parish, Louisiana",Jefferson Parish,Louisiana,432493
"Jefferson Davis Parish, Louisiana",Jefferson Davis Parish,Louisiana,31368
"Lafayette Parish, Louisiana",Lafayette Parish,Louisiana,244390
"Lafourche Parish, Louisiana",Lafourche Parish,Louisiana,97614
"LaSalle Parish, Louisiana",LaSalle Parish,Louisiana,14892
"Lincoln Parish, Louisiana",Lincoln Parish,Louisiana,46742
"Livingston Parish, Louisiana",Livingston Parish,Louisiana,140789
"Madison Parish, Louisiana",Madison Parish,Louisiana,10951
"Morehouse Parish, Louisiana",Morehouse Parish,Louisiana,24874
"Natchitoches Parish, Louisiana",Natchitoches Parish,Louisiana,38158
"Orleans Parish, Louisiana",Orleans Parish,Louisiana,390144
"Ouachita Parish, Louisiana",Ouachita Parish,Louisiana,153279
"Plaquemines Parish, Louisiana",Plaquemines Parish,Louisiana,23197
"Pointe Coupee Parish, Louisiana",Pointe Coupee Parish,Louisiana,21730
"Rapides Parish, Louisiana",Rapides Parish,Louisiana,129648
"Red River Parish, Louisiana",Red River Parish,Louisiana,8442
"Richland Parish, Louisiana",Richland Parish,Louisiana,20122
"Sabine Parish, Louisiana",Sabine Parish,Louisiana,23884
"St Bernard Parish, Louisiana",St Bernard Parish,Louisiana,47244
"St Charles Parish, Louisiana",St Charles Parish,Louisiana,53100
"St Helena Parish, Louisiana",St Helena Parish,Louisiana,10132
"St James Parish, Louisiana",St James Parish,Louisiana,21096
"St John the Baptist Parish, Louisiana",St John the Baptist Parish,Louisiana,42837
"St Landry Parish, Louisiana",St Landry Parish,Louisiana,82124
"St Martin Parish, Louisiana",St Martin Parish,Louisiana,53431
"St Mary Parish, Louisiana",St Mary Parish,Louisiana,49348
"St Tammany Parish, Louisiana",St Tammany Parish,Louisiana,260419
"Tangipahoa Parish, Louisiana",Tangipahoa Parish,Louisiana,134758
"Tensas Parish, Louisiana",Tensas Parish,Louisiana,4334
"Terrebonne Parish, Louisiana",Terrebonne Parish,Louisiana,110461
"Union Parish, Louisiana",Union Parish,Louisiana,22108
"Vermilion Parish, Louisiana",Vermilion Parish,Louisiana,59511
"Vernon Parish, Louisiana",Vernon Parish,Louisiana,47429
"Washington Parish, Louisiana",Washington Parish,Louisiana,46194
"Webster Parish, Louisiana",Webster Parish,Louisiana,38340
"West Baton Rouge Parish, Louisiana",West Baton Rouge Parish,Louisiana,26465
"West Carroll Parish, Louisiana",West Carroll Parish,Louisiana,10830
"West Feliciana Parish, Louisiana",West Feliciana Parish,Louisiana,15568
"Winn Parish, Louisiana",Winn Parish,Louisiana,13904
"Androscoggin County, Maine",Androscoggin County,Maine,108277
"Aroostook County, Maine",Aroostook County,Maine,67055
"Cumberland County, Maine",Cumberland County,Maine,295003
"Franklin County, Maine",Franklin County,Maine,30199
"Hancock County, Maine",Hancock County,Maine,54987
"Kennebec County, Maine",Kennebec County,Maine,122302
"Knox County, Maine",Knox County,Maine,39772
"Lincoln County, Maine",Lincoln County,Maine,34634
"Oxford County, Maine",Oxford County,Maine,57975
"Penobscot County, Maine",Penobscot County,Maine,152148
"Piscataquis County, Maine",Piscataquis County,Maine,16785
"Sagadahoc County, Maine",Sagadahoc County,Maine,35856
"Somerset County, Maine",Somerset County,Maine,50484
"Waldo County, Maine",Waldo County,Maine,39715
"Washington County, Maine",Washington County,Maine,31379
"York County, Maine",York County,Maine,207641
"Allegany County, Maryland",Allegany County,Maryland,70416
"Anne Arundel County, Maryland",Anne Arundel County,Maryland,579234
"Baltimore County, Maryland",Baltimore County,Maryland,827370
"Calvert County, Maryland",Calvert County,Maryland,92525
"Caroline County, Maryland",Caroline County,Maryland,33406
"Carroll County, Maryland",Carroll County,Maryland,168447
"Cecil County, Maryland",Cecil County,Maryland,102855
"Charles County, Maryland",Charles County,Maryland,163257
"Dorchester County, Maryland",Dorchester County,Maryland,31929
"Frederick County, Maryland",Frederick County,Maryland,259547
"Garrett County, Maryland",Garrett County,Maryland,29014
"Harford County, Maryland",Harford County,Maryland,255441
"Howard County, Maryland",Howard County,Maryland,325690
"Kent County, Maryland",Kent County,Maryland,19422
"Montgomery County, Maryland",Montgomery County,Maryland,1050688
"Prince George's County, Maryland",Prince George's County,Maryland,909327
"Queen Anne's County, Maryland",Queen Anne's County,Maryland,50381
"St Mary's County, Maryland",St Mary's County,Maryland,113510
"Somerset County, Maryland",Somerset County,Maryland,25616
"Talbot County, Maryland",Talbot County,Maryland,37181
"Washington County, Maryland",Washington County,Maryland,151049
"Wicomico County, Maryland",Wicomico County,Maryland,103609
"Worcester County, Maryland",Worcester County,Maryland,52276
"Baltimore city, Maryland",Baltimore city,Maryland,593490
"Barnstable County, Massachusetts",Barnstable County,Massachusetts,212990
"Berkshire County, Massachusetts",Berkshire County,Massachusetts,124944
"Bristol County, Massachusetts",Bristol County,Massachusetts,565217
"Dukes County, Massachusetts",Dukes County,Massachusetts,17332
"Essex County, Massachusetts",Essex County,Massachusetts,789034
"Franklin County, Massachusetts",Franklin County,Massachusetts,70180
"Hampden County, Massachusetts",Hampden County,Massachusetts,466372
"Hampshire County, Massachusetts",Hampshire County,Massachusetts,160830
"Middlesex County, Massachusetts",Middlesex County,Massachusetts,1611699
"Nantucket County, Massachusetts",Nantucket County,Massachusetts,11399
"Norfolk County, Massachusetts",Norfolk County,Massachusetts,706775
"Plymouth County, Massachusetts",Plymouth County,Massachusetts,521202
"Suffolk County, Massachusetts",Suffolk County,Massachusetts,803907
"Worcester County, Massachusetts",Worcester County,Massachusetts,830622
"Alcona County, Michigan",Alcona County,Michigan,10405
"Alger County, Michigan",Alger County,Michigan,9108
"Allegan County, Michigan",Allegan County,Michigan,118081
"Alpena County, Michigan",Alpena County,Michigan,28405
"Antrim County, Michigan",Antrim County,Michigan,23324
"Arenac County, Michigan",Arenac County,Michigan,14883
"Baraga County, Michigan",Baraga County,Michigan,8209
"Barry County, Michigan",Barry County,Michigan,61550
"Bay County, Michigan",Bay County,Michigan,103126
"Benzie County, Michigan",Benzie County,Michigan,17766
"Berrien County, Michigan",Berrien County,Michigan,153401
"Branch County, Michigan",Branch County,Michigan,43517
"Calhoun County, Michigan",Calhoun County,Michigan,134159
"Cass County, Michigan",Cass County,Michigan,51787
"Charlevoix County, Michigan",Charlevoix County,Michigan,26143
"Cheboygan County, Michigan",Cheboygan County,Michigan,25276
"Chippewa County, Michigan",Chippewa County,Michigan,37349
"Clare County, Michigan",Clare County,Michigan,30950
"Clinton County, Michigan",Clinton County,Michigan,79595
"Crawford County, Michigan",Crawford County,Michigan,14029
"Delta County, Michigan",Delta County,Michigan,35784
"Dickinson County, Michigan",Dickinson County,Michigan,25239
"Eaton County, Michigan",Eaton County,Michigan,110268
"Emmet County, Michigan",Emmet County,Michigan,33415
"Genesee County, Michigan",Genesee County,Michigan,405813
"Gladwin County, Michigan",Gladwin County,Michigan,25449
"Gogebic County, Michigan",Gogebic County,Michigan,13975
"Grand Traverse County, Michigan",Grand Traverse County,Michigan,93088
"Gratiot County, Michigan",Gratiot County,Michigan,40711
"Hillsdale County, Michigan",Hillsdale County,Michigan,45605
"Houghton County, Michigan",Houghton County,Michigan,35684
"Huron County, Michigan",Huron County,Michigan,30981
"Ingham County, Michigan",Ingham County,Michigan,292406
"Ionia County, Michigan",Ionia County,Michigan,64697
"Iosco County, Michigan",Iosco County,Michigan,25127
"Iron County, Michigan",Iron County,Michigan,11066
"Isabella County, Michigan",Isabella County,Michigan,69872
"Jackson County, Michigan",Jackson County,Michigan,158510
"Kalamazoo County, Michigan",Kalamazoo County,Michigan,265066
"Kalkaska County, Michigan",Kalkaska County,Michigan,18038
"Kent County, Michigan",Kent County,Michigan,656955
"Keweenaw County, Michigan",Keweenaw County,Michigan,2116
"Lake County, Michigan",Lake County,Michigan,11853
"Lapeer County, Michigan",Lapeer County,Michigan,87607
"Leelanau County, Michigan",Leelanau County,Michigan,21761
"Lenawee County, Michigan",Lenawee County,Michigan,98451
"Livingston County, Michigan",Livingston County,Michigan,191995
"Luce County, Michigan",Luce County,Michigan,6229
"Mackinac County, Michigan",Mackinac County,Michigan,10799
"Macomb County, Michigan",Macomb County,Michigan,873972
"Manistee County, Michigan",Manistee County,Michigan,24558
"Marquette County, Michigan",Marquette County,Michigan,66699
"Mason County, Michigan",Mason County,Michigan,29144
"Mecosta County, Michigan",Mecosta County,Michigan,43453
"Menominee County, Michigan",Menominee County,Michigan,22780
"Midland County, Michigan",Midland County,Michigan,83156
"Missaukee County, Michigan",Missaukee County,Michigan,15118
"Monroe County, Michigan",Monroe County,Michigan,150500
"Montcalm County, Michigan",Montcalm County,Michigan,63888
"Montmorency County, Michigan",Montmorency County,Michigan,9328
"Muskegon County, Michigan",Muskegon County,Michigan,173566
"Newaygo County, Michigan",Newaygo County,Michigan,48980
"Oakland County, Michigan",Oakland County,Michigan,1257584
"Oceana County, Michigan",Oceana County,Michigan,26467
"Ogemaw County, Michigan",Ogemaw County,Michigan,20997
"Ontonagon County, Michigan",Ontonagon County,Michigan,5720
"Osceola County, Michigan",Osceola County,Michigan,23460
"Oscoda County, Michigan",Oscoda County,Michigan,8241
"Otsego County, Michigan",Otsego County,Michigan,24668
"Ottawa County, Michigan",Ottawa County,Michigan,291830
"Presque Isle County, Michigan",Presque Isle County,Michigan,12592
"Roscommon County, Michigan",Roscommon County,Michigan,24019
"Saginaw County, Michigan",Saginaw County,Michigan,190539
"St Clair County, Michigan",St Clair County,Michigan,159128
"St Joseph County, Michigan",St Joseph County,Michigan,60964
"Sanilac County, Michigan",Sanilac County,Michigan,41170
"Schoolcraft County, Michigan",Schoolcraft County,Michigan,8094
"Shiawassee County, Michigan",Shiawassee County,Michigan,68122
"Tuscola County, Michigan",Tuscola County,Michigan,52245
"Van Buren County, Michigan",Van Buren County,Michigan,75677
"Washtenaw County, Michigan",Washtenaw County,Michigan,367601
"Wayne County, Michigan",Wayne County,Michigan,1749343
"Wexford County, Michigan",Wexford County,Michigan,33631
"Aitkin County, Minnesota",Aitkin County,Minnesota,15886
"Anoka County, Minnesota",Anoka County,Minnesota,356921
"Becker County, Minnesota",Becker County,Minnesota,34423
"Beltrami County, Minnesota",Beltrami County,Minnesota,47188
"Benton County, Minnesota",Benton County,Minnesota,40889
"Big Stone County, Minnesota",Big Stone County,Minnesota,4991
"Blue Earth County, Minnesota",Blue Earth County,Minnesota,67653
"Brown County, Minnesota",Brown County,Minnesota,25008
"Carlton County, Minnesota",Carlton County,Minnesota,35871
"Carver County, Minnesota",Carver County,Minnesota,105089
"Cass County, Minnesota",Cass County,Minnesota,29779
"Chippewa County, Minnesota",Chippewa County,Minnesota,11800
"Chisago County, Minnesota",Chisago County,Minnesota,56579
"Clay County, Minnesota",Clay County,Minnesota,64222
"Clearwater County, Minnesota",Clearwater County,Minnesota,8818
"Cook County, Minnesota",Cook County,Minnesota,5463
"Cottonwood County, Minnesota",Cottonwood County,Minnesota,11196
"Crow Wing County, Minnesota",Crow Wing County,Minnesota,65055
"Dakota County, Minnesota",Dakota County,Minnesota,429021
"Dodge County, Minnesota",Dodge County,Minnesota,20934
"Douglas County, Minnesota",Douglas County,Minnesota,38141
"Faribault County, Minnesota",Faribault County,Minnesota,13653
"Fillmore County, Minnesota",Fillmore County,Minnesota,21067
"Freeborn County, Minnesota",Freeborn County,Minnesota,30281
"Goodhue County, Minnesota",Goodhue County,Minnesota,46340
"Grant County, Minnesota",Grant County,Minnesota,5972
"Hennepin County, Minnesota",Hennepin County,Minnesota,1265843
"Houston County, Minnesota",Houston County,Minnesota,18600
"Hubbard County, Minnesota",Hubbard County,Minnesota,21491
"Isanti County, Minnesota",Isanti County,Minnesota,40596
"Itasca County, Minnesota",Itasca County,Minnesota,45130
"Jackson County, Minnesota",Jackson County,Minnesota,9846
"Kanabec County, Minnesota",Kanabec County,Minnesota,16337
"Kandiyohi County, Minnesota",Kandiyohi County,Minnesota,43199
"Kittson County, Minnesota",Kittson County,Minnesota,4298
"Koochiching County, Minnesota",Koochiching County,Minnesota,12229
"Lac qui Parle County, Minnesota",Lac qui Parle County,Minnesota,6623
"Lake County, Minnesota",Lake County,Minnesota,10641
"Lake of the Woods County, Minnesota",Lake of the Woods County,Minnesota,3740
"Le Sueur County, Minnesota",Le Sueur County,Minnesota,28887
"Lincoln County, Minnesota",Lincoln County,Minnesota,5639
"Lyon County, Minnesota",Lyon County,Minnesota,25474
"McLeod County, Minnesota",McLeod County,Minnesota,35893
"Mahnomen County, Minnesota",Mahnomen County,Minnesota,5527
"Marshall County, Minnesota",Marshall County,Minnesota,9336
"Martin County, Minnesota",Martin County,Minnesota,19683
"Meeker County, Minnesota",Meeker County,Minnesota,23222
"Mille Lacs County, Minnesota",Mille Lacs County,Minnesota,26277
"Morrison County, Minnesota",Morrison County,Minnesota,33386
"Mower County, Minnesota",Mower County,Minnesota,40062
"Murray County, Minnesota",Murray County,Minnesota,8194
"Nicollet County, Minnesota",Nicollet County,Minnesota,34274
"Nobles County, Minnesota",Nobles County,Minnesota,21629
"Norman County, Minnesota",Norman County,Minnesota,6375
"Olmsted County, Minnesota",Olmsted County,Minnesota,158293
"Otter Tail County, Minnesota",Otter Tail County,Minnesota,58746
"Pennington County, Minnesota",Pennington County,Minnesota,14119
"Pine County, Minnesota",Pine County,Minnesota,29579
"Pipestone County, Minnesota",Pipestone County,Minnesota,9126
"Polk County, Minnesota",Polk County,Minnesota,31364
"Pope County, Minnesota",Pope County,Minnesota,11249
"Ramsey County, Minnesota",Ramsey County,Minnesota,550321
"Red Lake County, Minnesota",Red Lake County,Minnesota,4055
"Redwood County, Minnesota",Redwood County,Minnesota,15170
"Renville County, Minnesota",Renville County,Minnesota,14548
"Rice County, Minnesota",Rice County,Minnesota,66972
"Rock County, Minnesota",Rock County,Minnesota,9315
"Roseau County, Minnesota",Roseau County,Minnesota,15165
"St Louis County, Minnesota",St Louis County,Minnesota,199070
"Scott County, Minnesota",Scott County,Minnesota,149013
"Sherburne County, Minnesota",Sherburne County,Minnesota,97238
"Sibley County, Minnesota",Sibley County,Minnesota,14865
"Stearns County, Minnesota",Stearns County,Minnesota,161075
"Steele County, Minnesota",Steele County,Minnesota,36649
"Stevens County, Minnesota",Stevens County,Minnesota,9805
"Swift County, Minnesota",Swift County,Minnesota,9266
"Todd County, Minnesota",Todd County,Minnesota,24664
"Traverse County, Minnesota",Traverse County,Minnesota,3259
"Wabasha County, Minnesota",Wabasha County,Minnesota,21627
"Wadena County, Minnesota",Wadena County,Minnesota,13682
"Waseca County, Minnesota",Waseca County,Minnesota,18612
"Washington County, Minnesota",Washington County,Minnesota,262440
"Watonwan County, Minnesota",Watonwan County,Minnesota,10897
"Wilkin County, Minnesota",Wilkin County,Minnesota,6207
"Winona County, Minnesota",Winona County,Minnesota,50484
"Wright County, Minnesota",Wright County,Minnesota,138377
"Yellow Medicine County, Minnesota",Yellow Medicine County,Minnesota,9709
"Adams County, Mississippi",Adams County,Mississippi,30693
"Alcorn County, Mississippi",Alcorn County,Mississippi,36953
"Amite County, Mississippi",Amite County,Mississippi,12297
"Attala County, Mississippi",Attala County,Mississippi,18174
"Benton County, Mississippi",Benton County,Mississippi,8259
"Bolivar County, Mississippi",Bolivar County,Mississippi,30628
"Calhoun County, Mississippi",Calhoun County,Mississippi,14361
"Carroll County, Mississippi",Carroll County,Mississippi,9947
"Chickasaw County, Mississippi",Chickasaw County,Mississippi,17103
"Choctaw County, Mississippi",Choctaw County,Mississippi,8210
"Claiborne County, Mississippi",Claiborne County,Mississippi,8988
"Clarke County, Mississippi",Clarke County,Mississippi,15541
"Clay County, Mississippi",Clay County,Mississippi,19316
"Coahoma County, Mississippi",Coahoma County,Mississippi,22124
"Copiah County, Mississippi",Copiah County,Mississippi,28065
"Covington County, Mississippi",Covington County,Mississippi,18636
"DeSoto County, Mississippi",DeSoto County,Mississippi,184945
"Forrest County, Mississippi",Forrest County,Mississippi,74897
"Franklin County, Mississippi",Franklin County,Mississippi,7713
"George County, Mississippi",George County,Mississippi,24500
"Greene County, Mississippi",Greene County,Mississippi,13586
"Grenada County, Mississippi",Grenada County,Mississippi,20758
"Hancock County, Mississippi",Hancock County,Mississippi,47632
"Harrison County, Mississippi",Harrison County,Mississippi,208080
"Hinds County, Mississippi",Hinds County,Mississippi,231840
"Holmes County, Mississippi",Holmes County,Mississippi,17010
"Humphreys County, Mississippi",Humphreys County,Mississippi,8064
"Issaquena County, Mississippi",Issaquena County,Mississippi,1327
"Itawamba County, Mississippi",Itawamba County,Mississippi,23390
"Jackson County, Mississippi",Jackson County,Mississippi,143617
"Jasper County, Mississippi",Jasper County,Mississippi,16383
"Jefferson County, Mississippi",Jefferson County,Mississippi,6990
"Jefferson Davis County, Mississippi",Jefferson Davis County,Mississippi,11128
"Jones County, Mississippi",Jones County,Mississippi,68098
"Kemper County, Mississippi",Kemper County,Mississippi,9742
"Lafayette County, Mississippi",Lafayette County,Mississippi,54019
"Lamar County, Mississippi",Lamar County,Mississippi,63343
"Lauderdale County, Mississippi",Lauderdale County,Mississippi,74125
"Lawrence County, Mississippi",Lawrence County,Mississippi,12586
"Leake County, Mississippi",Leake County,Mississippi,22786
"Lee County, Mississippi",Lee County,Mississippi,85436
"Leflore County, Mississippi",Leflore County,Mississippi,28183
"Lincoln County, Mississippi",Lincoln County,Mississippi,34153
"Lowndes County, Mississippi",Lowndes County,Mississippi,58595
"Madison County, Mississippi",Madison County,Mississippi,106272
"Marion County, Mississippi",Marion County,Mississippi,24573
"Marshall County, Mississippi",Marshall County,Mississippi,35294
"Monroe County, Mississippi",Monroe County,Mississippi,35252
"Montgomery County, Mississippi",Montgomery County,Mississippi,9775
"Neshoba County, Mississippi",Neshoba County,Mississippi,29118
"Newton County, Mississippi",Newton County,Mississippi,21018
"Noxubee County, Mississippi",Noxubee County,Mississippi,10417
"Oktibbeha County, Mississippi",Oktibbeha County,Mississippi,49587
"Panola County, Mississippi",Panola County,Mississippi,34192
"Pearl River County, Mississippi",Pearl River County,Mississippi,55535
"Perry County, Mississippi",Perry County,Mississippi,11973
"Pike County, Mississippi",Pike County,Mississippi,39288
"Pontotoc County, Mississippi",Pontotoc County,Mississippi,32174
"Prentiss County, Mississippi",Prentiss County,Mississippi,25126
"Quitman County, Mississippi",Quitman County,Mississippi,6792
"Rankin County, Mississippi",Rankin County,Mississippi,155271
"Scott County, Mississippi",Scott County,Mississippi,28124
"Sharkey County, Mississippi",Sharkey County,Mississippi,4321
"Simpson County, Mississippi",Simpson County,Mississippi,26658
"Smith County, Mississippi",Smith County,Mississippi,15916
"Stone County, Mississippi",Stone County,Mississippi,18336
"Sunflower County, Mississippi",Sunflower County,Mississippi,25110
"Tallahatchie County, Mississippi",Tallahatchie County,Mississippi,13809
"Tate County, Mississippi",Tate County,Mississippi,28321
"Tippah County, Mississippi",Tippah County,Mississippi,22015
"Tishomingo County, Mississippi",Tishomingo County,Mississippi,19383
"Tunica County, Mississippi",Tunica County,Mississippi,9632
"Union County, Mississippi",Union County,Mississippi,28815
"Walthall County, Mississippi",Walthall County,Mississippi,14286
"Warren County, Mississippi",Warren County,Mississippi,45381
"Washington County, Mississippi",Washington County,Mississippi,43909
"Wayne County, Mississippi",Wayne County,Mississippi,20183
"Webster County, Mississippi",Webster County,Mississippi,9689
"Wilkinson County, Mississippi",Wilkinson County,Mississippi,8630
"Winston County, Mississippi",Winston County,Mississippi,17955
"Yalobusha County, Mississippi",Yalobusha County,Mississippi,12108
"Yazoo County, Mississippi",Yazoo County,Mississippi,29690
"Adair County, Missouri",Adair County,Missouri,25343
"Andrew County, Missouri",Andrew County,Missouri,17712
"Atchison County, Missouri",Atchison County,Missouri,5143
"Audrain County, Missouri",Audrain County,Missouri,25388
"Barry County, Missouri",Barry County,Missouri,35789
"Barton County, Missouri",Barton County,Missouri,11754
"Bates County, Missouri",Bates County,Missouri,16172
"Benton County, Missouri",Benton County,Missouri,19443
"Bollinger County, Missouri",Bollinger County,Missouri,12133
"Boone County, Missouri",Boone County,Missouri,180463
"Buchanan County, Missouri",Buchanan County,Missouri,87364
"Butler County, Missouri",Butler County,Missouri,42478
"Caldwell County, Missouri",Caldwell County,Missouri,9020
"Callaway County, Missouri",Callaway County,Missouri,44743
"Camden County, Missouri",Camden County,Missouri,46305
"Cape Girardeau County, Missouri",Cape Girardeau County,Missouri,78871
"Carroll County, Missouri",Carroll County,Missouri,8679
"Carter County, Missouri",Carter County,Missouri,5982
"Cass County, Missouri",Cass County,Missouri,105780
"Cedar County, Missouri",Cedar County,Missouri,14349
"Chariton County, Missouri",Chariton County,Missouri,7426
"Christian County, Missouri",Christian County,Missouri,88595
"Clark County, Missouri",Clark County,Missouri,6797
"Clay County, Missouri",Clay County,Missouri,249948
"Clinton County, Missouri",Clinton County,Missouri,20387
"Cole County, Missouri",Cole County,Missouri,76745
"Cooper County, Missouri",Cooper County,Missouri,17709
"Crawford County, Missouri",Crawford County,Missouri,23920
"Dade County, Missouri",Dade County,Missouri,7561
"Dallas County, Missouri",Dallas County,Missouri,16878
"Daviess County, Missouri",Daviess County,Missouri,8278
"DeKalb County, Missouri",DeKalb County,Missouri,12547
"Dent County, Missouri",Dent County,Missouri,15573
"Douglas County, Missouri",Douglas County,Missouri,13185
"Dunklin County, Missouri",Dunklin County,Missouri,29131
"Franklin County, Missouri",Franklin County,Missouri,103967
"Gasconade County, Missouri",Gasconade County,Missouri,14706
"Gentry County, Missouri",Gentry County,Missouri,6571
"Greene County, Missouri",Greene County,Missouri,293086
"Grundy County, Missouri",Grundy County,Missouri,9850
"Harrison County, Missouri",Harrison County,Missouri,8352
"Henry County, Missouri",Henry County,Missouri,21824
"Hickory County, Missouri",Hickory County,Missouri,9544
"Holt County, Missouri",Holt County,Missouri,4403
"Howard County, Missouri",Howard County,Missouri,10001
"Howell County, Missouri",Howell County,Missouri,40117
"Iron County, Missouri",Iron County,Missouri,10125
"Jackson County, Missouri",Jackson County,Missouri,703011
"Jasper County, Missouri",Jasper County,Missouri,121328
"Jefferson County, Missouri",Jefferson County,Missouri,225081
"Johnson County, Missouri",Johnson County,Missouri,54062
"Knox County, Missouri",Knox County,Missouri,3959
"Laclede County, Missouri",Laclede County,Missouri,35723
"Lafayette County, Missouri",Lafayette County,Missouri,32708
"Lawrence County, Missouri",Lawrence County,Missouri,38355
"Lewis County, Missouri",Lewis County,Missouri,9776
"Lincoln County, Missouri",Lincoln County,Missouri,59013
"Linn County, Missouri",Linn County,Missouri,11920
"Livingston County, Missouri",Livingston County,Missouri,15227
"McDonald County, Missouri",McDonald County,Missouri,22837
"Macon County, Missouri",Macon County,Missouri,15117
"Madison County, Missouri",Madison County,Missouri,12088
"Maries County, Missouri",Maries County,Missouri,8697
"Marion County, Missouri",Marion County,Missouri,28530
"Mercer County, Missouri",Mercer County,Missouri,3617
"Miller County, Missouri",Miller County,Missouri,25619
"Mississippi County, Missouri",Mississippi County,Missouri,13180
"Moniteau County, Missouri",Moniteau County,Missouri,16132
"Monroe County, Missouri",Monroe County,Missouri,8644
"Montgomery County, Missouri",Montgomery County,Missouri,11551
"Morgan County, Missouri",Morgan County,Missouri,20627
"New Madrid County, Missouri",New Madrid County,Missouri,17076
"Newton County, Missouri",Newton County,Missouri,58236
"Nodaway County, Missouri",Nodaway County,Missouri,22092
"Oregon County, Missouri",Oregon County,Missouri,10529
"Osage County, Missouri",Osage County,Missouri,13615
"Ozark County, Missouri",Ozark County,Missouri,9174
"Pemiscot County, Missouri",Pemiscot County,Missouri,15805
"Perry County, Missouri",Perry County,Missouri,19136
